Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2321473,6/4/2022,Florida,Jacksonville,400 block of Belfort St,0,2,N/A,30.32106,-81.398378,0.81,nearest_rooftop_match,446,St,,,Neptune Beach,FL,Duval County,32266,US,Loveland
2320618,6/4/2022,Arizona,Phoenix,N 10th Ave and W Hatcher Rd,1,8,N/A,33.571363,-112.060347,0.8,intersection,,E Hatcher Rd,,,Phoenix,AZ,Maricopa County,85020,US,TIGER/Line® dataset from the US Census Bureau
2320571,6/4/2022,Illinois,Chicago,1365 N Hudson Ave,0,2,N/A,41.907447,-87.639479,1,rooftop,1365,N Hudson Ave,,,Chicago,IL,Cook County,60610,US,Cook
2320566,6/4/2022,Indiana,Indianapolis,210 N Whitcomb Ave,0,1,N/A,39.768994,-86.257964,1,rooftop,210,N Whitcomb Ave,,,Indianapolis,IN,Marion County,46224,US,Statewide IN
2321435,6/4/2022,Illinois,Chicago,1900 block of S Trumbull Ave,0,1,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2320558,6/4/2022,Indiana,Indianapolis,8215 Center Run Dr,0,2,N/A,39.90555,-86.057685,1,range_interpolation,8215,Center Run Dr,,,Indianapolis,IN,Marion County,46250,US,TIGER/Line® dataset from the US Census Bureau
2321432,6/4/2022,Utah,Salt Lake City (West Valley City),2300 W Ruddy Way,1,1,N/A,40.706816,-111.950325,0.89,nearest_rooftop_match,2292,W Ruddy Way,,,West Valley City,UT,Salt Lake County,84119,US,Utah AGRC (and individual UT counties)
2321429,6/4/2022,Kentucky,Louisville,1640 S Hurstbourne Pkwy,0,1,N/A,38.223064,-85.581037,1,rooftop,1640,S Hurstbourne Pkwy,,,Louisville,KY,Jefferson County,40220,US,"Metro Louisville,  LOJIC partners"
2321421,6/4/2022,Nevada,Las Vegas (Enterprise),Snow Bank Ln and Peachtree Hill Ave,0,4,N/A,35.97152,-115.17028,0.75,intersection,,Peachtree Hill Ave,,,Las Vegas,NV,Clark County,89183,US,TIGER/Line® dataset from the US Census Bureau
2320545,6/4/2022,New York,New York (Manhattan),43 W 129th St,0,3,N/A,40.809874,-73.942335,1,rooftop,43,W 129th St,,,New York,NY,New York County,10027,US,City of New York
2321157,6/4/2022,Kentucky,Louisville,4300 block of Fegenbush Ln,0,1,N/A,38.182812,-85.8076,0.8,rooftop,4300,Lahnna Dr,,,Louisville,KY,Jefferson County,40216,US,"Metro Louisville,  LOJIC partners"
2320934,6/4/2022,Delaware,Wilmington,1300 block of A St,0,1,N/A,39.727113,-75.547844,0.5,place,,,,,Wilmington,DE,New Castle County,19801,US,TIGER/Line® dataset from the US Census Bureau
2320541,6/4/2022,New York,Bronx,106 E 165th St,0,1,N/A,40.831106,-73.921538,1,rooftop,106,E 165th St,,,Bronx,NY,Bronx County,10452,US,City of New York
2321402,6/4/2022,Arizona,Tucson,29th St and Craycroft Rd,0,1,N/A,32.199636,-110.875105,0.8,intersection,,E 29th St,,,Tucson,AZ,Pima County,85711,US,TIGER/Line® dataset from the US Census Bureau
