Incident ID,Incident Date,State,City Or County,Address,Killed,Injured,Operations,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
2306392,18-May-22,Florida,Dade City,Johns Rd,1,2,N/A,28.373098,-82.179581,1,street_center,,Johns Rd,,,Dade City,FL,Pasco County,33525,US,TIGER/Line® dataset from the US Census Bureau
2305511,18-May-22,Wisconsin,Milwaukee,N 37th St and W Townsend St,1,0,N/A,43.081117,-87.959616,1,intersection,,N 37th St,,,Milwaukee,WI,Milwaukee County,53216,US,TIGER/Line® dataset from the US Census Bureau
2305941,18-May-22,Texas,Houston,6909 Eastex Fwy,1,0,N/A,29.823342,-95.336497,1,rooftop,6909,Eastex Fwy,,,Houston,TX,Harris County,77093,US,Greater Houston
2305474,18-May-22,Louisiana,Baton Rouge,Florida Blvd and Sharp Rd,1,0,N/A,30.456401,-91.072113,0.9,intersection,,Florida Blvd,,,Baton Rouge,LA,East Baton Rouge Parish,70815,US,TIGER/Line® dataset from the US Census Bureau
2305610,18-May-22,Louisiana,Baton Rouge,St. Gerard Ave,1,0,N/A,30.497407,-91.133399,1,street_center,,St Gerard Ave,,,Baton Rouge,LA,East Baton Rouge Parish,70805,US,TIGER/Line® dataset from the US Census Bureau
2306767,18-May-22,Hawaii,Honolulu,1600 block of Kapiolani Blvd,1,0,N/A,21.316548,-157.845053,0.5,place,,,,,Honolulu,HI,Honolulu County,96813,US,TIGER/Line® dataset from the US Census Bureau
2305585,18-May-22,California,Fresno,3748 W Shields Ave,1,0,N/A,36.779102,-119.861008,1,rooftop,3748,W Shields Ave,,,Fresno,CA,Fresno County,93722,US,Fresno
2306489,18-May-22,Louisiana,Gretna (Terrytown),Daniels Rd,1,0,N/A,29.903739,-90.02897,1,street_center,,Daniels Rd,,,Gretna,LA,Jefferson Parish,70056,US,TIGER/Line® dataset from the US Census Bureau
2305860,18-May-22,Texas,Dallas,6700 block of Eastridge Dr,1,0,N/A,32.669138,-96.796554,0.7,range_interpolation,6700,Troy Glen Dr,,,Dallas,TX,Dallas County,75241,US,TIGER/Line® dataset from the US Census Bureau
2305541,18-May-22,Georgia,Atlanta (College Park),2700 Camp Creek Pkwy,1,0,N/A,33.650802,-84.479306,1,rooftop,2700,Camp Creek Pkwy,,,Atlanta,GA,Fulton County,30337,US,Fulton
2305444,18-May-22,Florida,Riverview,13202 Graham Yarden Dr,3,0,N/A,27.785877,-82.304801,1,rooftop,13202,Graham Yarden Dr,,,Riverview,FL,Hillsborough County,33579,US,Hillsborough
2306040,18-May-22,Mississippi,Gulfport,3318 39th Ave,1,0,N/A,30.391032,-89.108136,1,rooftop,3318,39th Ave,,,Gulfport,MS,Harrison County,39501,US,City of Gulfport
2306345,18-May-22,Illinois,Chicago,1800 block of W Garfield Blvd,1,0,N/A,42.027256,-87.698068,0.9,rooftop,1800,South Blvd,,,Evanston,IL,Cook County,60202,US,City of Evanston
2306333,18-May-22,Illinois,Chicago,200 block of W 105th Pl,1,0,N/A,41.88531,-87.62213,0.5,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
2305777,18-May-22,New York,Bronx,E 144th St and Exterior St,1,0,N/A,40.817201,-73.930871,0.93,intersection,,E 144th St,,,Bronx,NY,Bronx County,10451,US,TIGER/Line® dataset from the US Census Bureau
2306243,18-May-22,Arizona,Tempe (Guadalupe),Avenida Del Yaqui and Calle Pitaya,1,0,N/A,33.401395,-111.931298,0.5,place,,,,,Tempe,AZ,Maricopa County,85280,US,TIGER/Line® dataset from the US Census Bureau
2306217,18-May-22,New Jersey,Carteret,Lincoln Ave,1,1,N/A,40.585077,-74.220811,1,street_center,,Lincoln Ave,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau
2305969,18-May-22,North Dakota,Fargo,5505 28th Ave S,1,2,N/A,46.838858,-96.881413,1,rooftop,5505,28th Ave S,,,Fargo,ND,Cass County,58104,US,City of Fargo
2306170,18-May-22,Kansas,Leavenworth,700 block of Osage St,1,0,N/A,39.279656,-94.982216,0.5,place,,,,,Leavenworth,KS,Leavenworth County,66048,US,TIGER/Line® dataset from the US Census Bureau
2306167,18-May-22,Missouri,Kansas City,E 49th St and Agnes Ave,1,0,N/A,39.037202,-94.549916,1,intersection,,Agnes Ave,,,Kansas City,MO,Jackson County,64130,US,TIGER/Line® dataset from the US Census Bureau
2306143,18-May-22,Louisiana,New Orleans,2700 block of Clara St,1,0,N/A,29.958304,-90.077,0.5,place,,,,,New Orleans,LA,Orleans Parish,70112,US,TIGER/Line® dataset from the US Census Bureau
2306092,18-May-22,Missouri,Saint Louis,7812 Page Ave,1,1,N/A,38.68117,-90.325156,1,rooftop,7812,Page Ave,,,Saint Louis,MO,St. Louis County,63133,US,St Louis
2306621,18-May-22,Virginia,Alberta,900 block of Mt Zion Rd,1,0,N/A,36.858078,-77.894632,0.5,place,,,,,Alberta,VA,Brunswick County,23821,US,TIGER/Line® dataset from the US Census Bureau
2305988,18-May-22,Utah,Springville,2248 Deer Crk Way,2,0,N/A,40.148908,-111.569681,0.86,rooftop,2248,E Deer Creek Way,,,Springville,UT,Utah County,84663,US,Utah AGRC (and individual UT counties)
2305238,17-May-22,Louisiana,Maringouin,78095 Wheelock Ln,2,0,N/A,30.472619,-91.516334,1,range_interpolation,78095,Wheelock Ln,,,Maringouin,LA,Iberville Parish,70757,US,TIGER/Line® dataset from the US Census Bureau
